name,artist,id,tempo
"Forever and Ever, Amen",Randy Travis,1ipcb9qXpSHWhSUvdxJhsx,90.392
Fancy,Reba McEntire,1ecIqo8pOc8S6y3l80iGxd,94.959
Georgia On My Mind,Ray Charles,4PKRAcbN8aPrgzFe0kOxRx,112.146
Seven Spanish Angels (with Ray Charles),Willie Nelson,51EKPuV1uAWryjNMqZLtgJ,132.439
Chattahoochee,Alan Jackson,59kHPbwyyCApYA8RQQEuXm,174.533
Pancho and Lefty,Willie Nelson,1A6P8IxzNyBRsQualaNXNY,122.997
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",Waylon Jennings,1gKSpFpX3poa17WIAyFVsp,94.597
Always on My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4,73.36
On the Road Again,Willie Nelson,2GyH5rvdnfkjzsTFaWrrov,110.97
Blue Eyes Crying In the Rain,Willie Nelson,2uRVPeQbsEpRQD0DKr1WTo,117.136
Good Hearted Woman,Willie Nelson,38jwN2vvBU7CjrySrZ9t35,109.704
Whiskey River,Willie Nelson,6gS6XQ4OqMddkgzHNz40E5,76.915
Folsom Prison Blues,Johnny Cash,0LTSNmOLBt25GMjHlxp9OR,110.519
Ring of Fire,Johnny Cash,6YffUZJ2R06kyxyK6onezL,104.111
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,4I8bMIAHrhcnDcqb8hwbxq,101.882
God's Gonna Cut You Down,Johnny Cash,6RFkVsPmrM4pzlDkFswwJl,82.228
(Ghost) Riders in the Sky,Johnny Cash,3I1vEQhGwRK7URrTq4BqNl,109.511
Hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,90.379
Don't Take Your Guns to Town,Johnny Cash,0p7QF136UOOUHnyU8CuZra,89.199
Daddy Sang Bass,Johnny Cash,15TITugVC8RrpLctHXOqT8,96.882
The Devil Went Down to Georgia,The Charlie Daniels Band,6gRACp2CvsIhc7hyw8CecQ,135.087
Momma Tried,Merle Haggard,3systj0GK4jGefVCspqNoZ,103.173
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,0M7mWKqwTIaVjYyxfZmtTa,111.762
Should've Been A Cowboy,Toby Keith,4EDBgrYqYQ6b50yhJWKsHp,133.582
American Soldier,Toby Keith,4WygRabom8WGpPb44r40sK,82.009
As Good As I Once Was,Toby Keith,7G6l2FtQyRhQgYgut2I6i8,119.075
Beer For My Horses,Toby Keith,7E2DqvnVtbIrFrL5X6YH9Q,119.005
Red Solo Cup,Toby Keith,47nm8czanMUzIqHsnr5x61,163.991
I Love This Bar,Toby Keith,1KlCaFgBM9VouwAcqBagQV,115.066
Made In America,Toby Keith,68iwafs32FXpAIDWqU8wdU,172.107
American Ride,Toby Keith,1vD4DN56ued7pQklJBDesw,174.099
Convoy,C.W. McCall,6dGWq08LXuIw6T2oUeHECh,111.62
Chicken Fried,Zac Brown Band,4dGJf1SER1T6ooX46vwzRB,169.864
If Tomorrow Never Comes,Kent Blazy,7MOsr4iEUasjzY2Uiktu0m,149.196
As She's Walking Away (feat. Alan Jackson) - Greatest Hits Version,Zac Brown Band,1jxR2ZtJo0O3Zq993R4MV7,183.981
Family Tradition,"Hank Williams, Jr.",73ZTWCuwudUVvvWipRnQnQ,126.342
Neon Moon,Brooks & Dunn,3EUl8M6SzxZl03NPkB8mUd,102.408
"Luckenbach, Texas (Back to the Basics of Love)",Waylon Jennings,5pdKPY4O9CHuzDDp557j4N,102.88
Boot Scootin' Boogie,Brooks & Dunn,7Fq9RwQxSn3kW85PrDUf0M,130.448
8th of November,Big & Rich,2X0aeFJXJZpeK2nSWvypiI,169.11
Red Dirt Road,Brooks & Dunn,5QHElgktygMkgRdpPhXfn2,136.128
I Knew You Were Trouble.,Taylor Swift,72jCZdH0Lhg93z6Z4hBjgj,77.019
We Are Never Ever Getting Back Together,Taylor Swift,7AEAGTc8cReDqcbPoY9gwo,85.984
You Belong With Me,Taylor Swift,3GCL1PydwsLodcpv0Ll1ch,129.964
A Country Boy Can Survive,"Hank Williams, Jr.",5jVGZTrDusSvwhRDPmZMSB,75.184
22,Taylor Swift,2ULNeSomDxVNmdDy8VxEBU,104.007
Fearless,Taylor Swift,6Eu31gddWw0gOGO506pJYA,99.972
Mine,Taylor Swift,0dBW6ZsW8skfvoRfgeerBF,121.07
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2TF4UtYreqNbQ6Z9AccldU,99.953
Sink the Bismark,Johnny Horton,1wuRCnD6sLvs9YuIOlqqOj,115.234
Welcome To New York,Taylor Swift,6qnM0XXPZOINWA778uNqQ9,117.023
Enchanted,Taylor Swift,10eBRyImhfqVvkiVEGf0N0,163.893
The Battle Of New Orleans,Johnny Horton,1XRA4Tjb2YrcQU5ThDllCw,177.162
North to Alaska,Johnny Horton,4mCB2FpWvmT3GcXUWyn0gs,82.947
I'm A One Woman Man,George Jones,6w1wDB0kJhdD1WrmkG2ufV,134.192
All You Had To Do Was Stay,Taylor Swift,0dAb8TY433dl3ZfXYCLE19,96.969
Ramblin' Man,Allman Brothers Band,2Q7LpkYrS0PBpoq3iCqypa,181.145
El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo,106.662
Big Iron,Marty Robbins,0AQquaENerGps8BQmbPw14,116.027
I Don't Need Your Rockin' Chair - Version w/special guests,Mark Chesnutt,3nKLfeoq3YedJIZqvRW3Qz,93.865
Copperhead Road,Steve Earle,0VU5k3vCrpqDgUygMjiFYj,162.874
People Are Crazy,Billy Currington,5JnLiuMgRAWoHYOhatFP3s,141.938
Sparks Fly,Taylor Swift,1q8E1FfFuhd12c5JcJwPxQ,114.987
Speak Now,Taylor Swift,1nYWTzy5zu3zEPNgB1sItW,118.975
Never Grow Up,Taylor Swift,74WBGgUnpKrJXt6TETfR6Z,124.91
Better Than Revenge,Taylor Swift,1By2VQkUN0Frd8mKNV5NYC,145.821
Ours,Taylor Swift,1EQn3Uc5AyUXoiPLeyCrrg,159.845
Farmer's Daughter,Rodney Atkins,5zGqTc1WQUe8XqqdnrpKTV,133.977
Tom Dooley - Remastered,The Kingston Trio,5rivhNukBcqEX41XQDLYi9,125.95
Forever & Always,Taylor Swift,1zxrcAk6eiytfavqriMcKT,128.012
The Best Day,Taylor Swift,5YbZZ2gYfvW1UvHHF4pVaD,126.079
Change,Taylor Swift,0RdcBnAXyH2YZZvcBVu2k6,96.038
Pretty Good At Drinkin' Beer,Billy Currington,6a7wXoZOARI8IqEXObjhDz,106.951
That's What I Love About Sunday,Craig Morgan,1fmi1hOBtH8xfUiWz4LVtE,139.469
The Night The Lights Went Out In Georgia,Reba McEntire,2MiXC2LfpsoeUP5RvMGEQ3,169.967
I'm A Survivor,Reba McEntire,0Fvw3mm5xy6CgsOWJWBs8s,88.834
My Front Porch Looking In,Lonestar,2FOb22ITQlclIU7UEI0v47,205.576
Albuquerque,"""Weird Al"" Yankovic",2Ec0liSMY2h4XORHyzKCmY,186.599
Every Light In The House,Trace Adkins,2s5BSrLQU5SB6m3dA2BI1k,129.282
She Don't Know She's Beautiful,Sammy Kershaw,3rvVhgG1inZCtQ1Qf0V5SA,116.115
Life's a Dance,John Michael Montgomery,0NyMrtH8mUuvtJjEpESn7J,135.224
Sold (The Grundy County Auction Incident),John Michael Montgomery,0NLBwQBYJhEM9t3KAMPFVR,115.642
Pickup Man,Joe Diffie,3dSUY34vmIYWJn0M6oZ3BD,140.566
Just To See You Smile,Tim McGraw,2op0kDNARK2VHWHntEeH4g,94.342
Don't Take The Girl,Tim McGraw,2wmEryA2YLaFwFvA63n3O2,204.263
Live Like You Were Dying,Tim McGraw,7B1QliUMZv7gSTUGAfMRRD,159.929
Felt Good On My Lips,Tim McGraw,2D2tn77f5ZrADmf8h4zR3t,136.001
The Good Stuff,Kenny Chesney,1EKiQ1InQXuodp4M1idrng,143.92
Don't Blink,Kenny Chesney,6reuJxDtjebwc9FB6rNpp0,147.925
Not All Heroes Wear Capes,Owl City,0slYDB04lcoiFFLTJ16OIo,81.986
Unbelievable,Owl City,6vysCzjEwFF4flCw3d6DeO,118.02
When the Sun Goes Down,Kenny Chesney,5vLonpxn4VN0A8GtQOBSG0,104.945
My Everything,Owl City,1CfzJiAnuAiyopNL7Wb3cB,90.026
Bird With A Broken Wing,Owl City,7zN4TXZbRLF5aJ53TA5LIs,127.941
You’re Not Alone,Owl City,34kQZhLBgnNr2i6NvD61p6,84.011
Can't Live Without You,Owl City,5HskLRdpkMp8OFiJCsisAN,127.97
Gold,Owl City,5pBCrF0gXKLZXj77BdJNh2,168.128
Dementia,Owl City,4buwCc108hpNP4HaCWxudH,127.013
I'm Gonna Miss Her,Brad Paisley,4ipZsAA3YuqCDSXiPoEGIv,98.354
I'm Coming After You,Owl City,4l4QbK1WQsEILLklD4y0NE,128.053
Speed Of Love,Owl City,4URyMVt4ZpmDQWd7D8rZ7k,127.976
Metropolis,Owl City,1SwG77Y74JfKoCNAtKyWsf,127.99
Deer In The Headlights,Owl City,2MX7KX78uxMwkeeDyk6CR1,140.039
Honey And The Bee,Owl City,219c16bgpbQclXy7v6QWRy,106.995
Plant Life,Owl City,3Uq06PHpVt4T9KYceuPYZn,159.931
Hospital Flowers,Owl City,7zaudG77rXWJHudW5dSToM,160.013
Cave In,Owl City,1Gjik144aoxTVpI1RQtPFA,135.011
Hello Seattle,Owl City,2bZwRGh8kmVhtsBnDjv14Z,118.984
Umbrella Beach,Owl City,3K0e08GyTmOV93NB3dM13d,135.005
Dental Care,Owl City,7MTOs445g1oV9iY3WGYQMh,68.493
The Tip Of The Iceberg,Owl City,4GJvgLicVBUAiitZAsQ5pf,135.025
Margaritaville,Jimmy Buffett,4EEjMyQub6tgFVshlM9j1M,124.943
Rainbow Veins,Owl City,1CypvG9L8GccU532v2j5YS,150.016
The Saltwater Room,Owl City,7nNWroSfiy00CppuRzqJd5,111.965
Captains Of The Sky,Sky Sailing,6cQCJ8M3HS144mnlpW2SZW,119.934
Brielle,Sky Sailing,3hfM7GfK9J0UqRS4VEyugl,138.012
Dirt Road Anthem,Jason Aldean,2qYsSHsYkihWx043HVJQRV,127.024
Big Green Tractor,Jason Aldean,4KAzYqfcijCSZa2P3etHoM,137.071
Tattoos on This Town,Jason Aldean,2SEsRxNSXidnMOZoTEzX1k,78.494
"Jesus, Take the Wheel",Carrie Underwood,3lec3CzDPAxsZokPph5w87,76.572
Sucker,Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,137.958
Bad Moon Rising,Creedence Clearwater Revival,20OFwXhEXf12DzwXmaV7fj,178.946
Have You Ever Seen The Rain,Creedence Clearwater Revival,5DnT9a5IM3eMjKgXTWVJvi,116.122
Fortunate Son,Creedence Clearwater Revival,4BP3uh0hFLFRb5cjsgLqDh,132.77
Down On The Corner,Creedence Clearwater Revival,2gE95JskwQ1pCACTpGe1Db,108.217
Simple Man,Lynyrd Skynyrd,1ju7EsSGvRybSNEsRvc7qY,120.471
Sweet Home Alabama,Lynyrd Skynyrd,7e89621JPkKaeDSTQ3avtg,97.798
Free Bird,Lynyrd Skynyrd,5EWPGh7jbTNO2wakv8LjUI,118.223
Old Time Rock & Roll,Bob Seger,5EOoMWIB9iK4ZpcSex9Ec7,124.13
Dangerous Woman,Ariana Grande,7l94dyN2hX9c6wWcZQuOGJ,134.049
Into You,Ariana Grande,2meEiZKWkiN28gITzFwQo5,107.853
Problem,Ariana Grande,7vS3Y0IKjde7Xg85LWIEdP,103.008
Bang Bang,Jessie J,466s1BacUmiRdR3ISvNjyx,149.974
Popular Song,MIKA,0xFomAiFsu5qCnLM0hu0UR,99.036
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,109.902
Walkin' After Midnight,Patsy Cline,4HbWgdhQcrV1PbCkzspTSF,134.834
Crazy,Patsy Cline,0ZPeq1LMR2zzWSV9VnhmYm,70.714
"Hey, Good Lookin' - Single Version",Hank Williams,4v3tdzHwvCpGLmVPnhMCkH,141.076
I'm So Lonesome I Could Cry,Hank Williams,4tj7IsJrn4MvesuhoY0JBy,111.937
Hey Ho,Nathan Carter,6M8BfX7KcEQi8FAGOPLIe6,88.972
Hang Ups,Scott Helman,6tYi93Nes84arkBcgesJbQ,105.131
Daddy's Hands,Holly Dunn,2VPnnOGXmejtKqxGY4jg66,76.511
Rose Garden,Lynn Anderson,5YwgJ6lpZ3SiAQwBEpjqey,131.064
FRIENDS,Marshmello,08bNPGLD8AhKpnnERrAc6G,95.079
Better Days,Hedley,5Kelvlf6aU6is8muBjaZ4S,93.203
Hands Up (feat. DNCE),Merk & Kremont,0nlyO7lNTOYB0gjDp7NI7H,107.996
Jerk It Out,Caesars,1bx7OUl2UmAnA5oZkm9If7,134.007
Starving - Acoustic,Hailee Steinfeld,3rdTo5LQGou3pS2ZLxTAcQ,99.859
Mr. Brightside,The Killers,7oK9VyNzrYvRFo7nQEYkWN,148.017
Dying for You (feat. Alex Aris) - Radio Edit,Otto Knows,59A6lBd9QmcD8rQTZPj1xD,121.97
Lot to Learn,Luke Christopher,3TRFq09DUgYj1mug6RRqJW,82.232
Natural,Imagine Dragons,4zIO3ilp5HvTeK3HJHxhMP,97.773
Big John - Re-Recorded In Stereo,Jimmy Dean,5SfhnQvwSG89JqAzVhKqiX,87.533
White Lightning - Single Version,George Jones,3Eixas2OjLZa4oW1Ou6dy0,149.483
Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,129.171
Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ,139.934
Semi-Charmed Life,Third Eye Blind,42et6fnHCw1HIPSrdPprMl,102.026
Thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,133.52
If My Heart Was a House,Owl City,6c6t0aQOtVUZTxRQTlEkZQ,124.981
Who We Are,Imagine Dragons,2x2SotEkKozaFh6H1aVnOZ,173.954
"You're Gonna Go Far, Kid",The Offspring,6TfBA04WJ3X1d1wXhaCFVT,126.115
You'll Always Find Your Way Back Home,Hannah Montana,12wSL3tGk3MtbDEhfG7xy3,152.946
Turn It Off,Scott Barnhardt,3BvdyscylBbOhf0TL2S0yH,141.845
This Kiss,Carly Rae Jepsen,1ecIqGEKWjMXf3lgu8XL4L,128.015
This Kiss,Faith Hill,0TxXEbxn52XsuAhxb6VFZw,186.875
Sucker for You,Matt Terry,5H9H0i7UCmRDCZRHldbmhN,95.034
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1MtUq6Wp1eQ8PC6BbPCj8P,101.969
Please Don't Go,Joel Adams,3cNjgVBKTJ1SvKhunrCdVy,84.264
Hotel California - 2013 Remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,147.125
Angels Among Us,Alabama,5AlAhGxcaynbZwjhokML5R,143.022
You're Gonna Miss This,Trace Adkins,68Q1r5zDnnYaHkh80yal4A,154.997
Womanizer,Britney Spears,4fixebDZAVToLbUCuEloa2,139.0
When I Look At You,Miley Cyrus,2k7lJRkftfgYLbawYkP9CF,137.941
Cool for the Summer,Demi Lovato,2zFF6jG5hQArbzcXz3KUWk,114.06
Best Days of Your Life,Kellie Pickler,16jvUOIQ2P54P0bNN4rAdv,127.939
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,95.01
Kiss An Angel Good Mornin',Charley Pride,1gNUf7ItWfqwFrpDWzYcYY,131.794
Miss Independent,Ne-Yo,34ceTg8ChN5HjrqiIYCn9Q,171.86
Shia LaBeouf Live,Rob Cantor,3VMzQ4rh7FtfSuyjHIcuZR,95.917
Wannabe,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT,110.008
New Americana,Halsey,6Xs7OKt6i0Ddq8B4M5Dgvr,173.993
When I Look Into Your Eyes,Firehouse,6LLyoplkpMDTbLdMRKvhq8,146.735
All Summer Long,Kid Rock,5rX6C5QVvvZB7XckETNych,102.997
Country Boy,Alan Jackson,5RuCWf4bJC0rqA05b7nWfd,139.037
Good Time,Alan Jackson,6lyKOW0FNW6aAZdKVgoM8m,132.017
A Thousand Miles,Vanessa Carlton,6Qm9MaditCcx5V62rVHYqu,94.841
The Reason,Hoobastank,1lHtE5JDCas1EwXhQIMOIj,82.904
It's Five O'Clock Somewhere,Alan Jackson,5oHHMDcVOmPSFrCgdbHPdb,125.202
Lovebug,Jonas Brothers,3F8xLc6T4VvKH7I6wqVAN2,79.071
Miss You,Louis Tomlinson,3zxrecYFao03IrrcyFiaMU,180.239
I'm Gonna Be (500 Miles),The Proclaimers,67iAlVNDDdddxqSD2EZhFs,131.922
Tidal Wave,Owl City,3nMXGixKDuQ7QeOonPlXo9,77.505
Say My Name,Destiny's Child,7H6ev70Weq6DdpZyyTmUXk,138.009
Complicated,Avril Lavigne,5xEM5hIgJ1jjgcEBfpkt2F,77.987
Rugs From Me To You,Owl City,7DGChRymOLZ3zfzgcUXDXZ,150.114
